ID,rank,scientificName
813,class,"Blastocystea"
814,order,"Blastocystida"
815,class,"Opalinea"
816,order,"Opalinida"
817,order,"Proteromonadida"
818,superclass,"Wobblata"
819,class,"Nanomonadea"
820,order,"Uniciliatida"
s821,class,"Placidiophyceae"
821,class,"Placididea "
822,order,"Placidiida"
823,subphylum,"Sagenista"
824,class,"Eogyrea"
825,order,"N.N. (Pseudophyllomitidae)"
826,class,"Labyrinthulea"
827,order,"Labyrinthulida"
828,order,"Thraustochytriida"
829,phylum,"Gyrista"
s830,subphylum,"Heterokontophyta p.p."
830,subphylum,"Ochrophytina "
831,infraphylum,"Chrysista"
832,superclass,"Limnistia"
833,class,"Chrysophyceae"
834,order,"Chloramoebales"
835,order,"Chromulinales"
836,order,"Chrysosphaerales"
837,order,"Heterogloeales"
838,order,"Hibberdiales"
839,order,"Hydrurales"
840,order,"Ochromonadales"
841,order,"Paraphysomonadida"
842,order,"Synurales"
843,order,"Thallochrysidales"
844,class,"Eustigmatophyceae"
845,order,"Eustigmatales"
s846,class,"Picophagea"
846,class,"Picophagophyceae "
847,order,"N.N."
848,order,"Picophagales"
849,order,"Synchromales"
850,superclass,"Fucistia"
851,class,"Chrysomerophyceae"
852,order,"Chrysomeridales"
853,class,"Phaeophyceae"
854,subclass,"Dictophycidae"
855,order,"Dictyotales"
856,order,"Onslowiales"
857,order,"Sphacelariales"
858,order,"Syringodermatales"
859,subclass,"Discosporangiophycidae"
860,order,"Discosporangiales"
861,subclass,"Fucophycidae"
862,order,"Ascoseirales"
863,order,"Asterocladales"
864,order,"Desmarestiales"
865,order,"Ectocarpales"
866,order,"Fucales"
867,order,"Laminariales"
868,order,"Nemodermatales"
869,order,"Phaeosiphoniellales"
870,order,"Ralfsiales"
871,order,"Scytothamnales"
872,order,"Sporochnales"
873,order,"Stschapoviales"
s874,order,"Cutleriales"
874,order,"Tilopteridales "
875,subclass,"Ishigeophycidae"
876,order,"Ishigeales"
s877,class,"Aurophyceae"
877,class,"Phaeothamniophyceae "
878,order,"Aurearenales"
879,order,"Phaeothamniales"
880,class,"Schizocladiophyceae"
881,order,"Schizocladiales"
882,class,"Xanthophyceae"
883,order,"Botrydiales"
884,order,"Mischococcales"
885,order,"Pleurochloridellales"
886,order,"Rhizochloridales"
887,order,"Tribonematales"
888,order,"Vaucheriales"
889,superclass,"Raphidoistia"
890,class,"Raphidophyceae"
891,order,"Actinophryida"
892,order,"Commatiida"
893,order,"Raphidomonadales"
894,infraphylum,"Diatomista"
895,superclass,"Hypogyrista"
s896,class,"Hypogyristea"
896,class,"Dictyochophyceae "
897,order,"Dictyochales"
898,order,"Olisthodiscales"
899,order,"Pedinellales"
900,order,"Pelagomonadales"
901,order,"Rhizochromulinales"
